Family;ScientificName;Author;Collector;Longitude;Latitude;Elevation;Date;Location;Herbarium;ID;wfoMeta_scientificName;wfoMeta_family;wfoMeta_majorGroup;wfoMeta_wfoID;wfoMeta_rank;wfoMeta_status;wfoMeta_author;gbifOccurrenceCheck
Passifloraceae;Adenia heterophylla;(Blume) Koord.;H.Balslev 10123;102,276111111111;12,0936111111111;46;2022-07-05;shrine of Prince Krom loung chumporn. Along western perimeter road. Tropical wet forest.;AAU;208;Adenia heterophylla;Passifloraceae;Angiosperm;wfo-0000519991;species;Accepted;Koord.;TRUE
Pittosporaceae;Pittosporum ferrugineum;Ait.;H.Balslev 10239;102,422222222222;11,9669444444444;30;2022-07-12;Road to Huamang Bay. Hill with apparently poor soil and low forest.;AAU;209;Pittosporum ferrugineum;Pittosporaceae;Angiosperm;wfo-0000481096;species;Accepted;W.T.Aiton;TRUE
Poaceae;Acroceras zizanoides;(Kunth) Dandy;H.Balslev 10151;102,326944444444;11,9827777777778;26;2022-07-06;Perimeter road along S side of island. Sii Tor waterfall. Wet tropical forest, flat area on floodplain.;AAU;210;Acroceras zizanioides;Poaceae;Angiosperm;wfo-0000841421;species;Accepted;(Kunth) Dandy;TRUE
Poaceae;Centotheca lappacea;(L.) Desv.;H.Balslev 10145;102,326944444444;11,9827777777778;26;2022-07-06;Perimeter road along S side of island. Sii Tor waterfall. Wet tropical forest, flat area on floodplain.;AAU;211;Centotheca lappacea;Poaceae;Angiosperm;wfo-0000858736;species;Accepted;Desv.;TRUE
Poaceae;Centotheca lappacea;(L.) Desv.;H.Balslev 10261;102,293611111111;12,0650000000000;30;2022-10-20;North-west of Klong Plu waterfall. Exit past Cambodian care center.;AAU;212;Centotheca lappacea;Poaceae;Angiosperm;wfo-0000858736;species;Accepted;Desv.;TRUE
Poaceae;Centotheca lappacea;(L.) Desv.;H.Balslev 10763;102,405277777778;11,9805555555556;40;2022-10-23;along rd to the Memorial of the Battle of Koh Chang. Tropical wet forest on red soil.;AAU;213;Centotheca lappacea;Poaceae;Angiosperm;wfo-0000858736;species;Accepted;Desv.;TRUE
Poaceae;Chrysopogon zizanioides;(L.) Roberty;H.Balslev 10735;102,429166666667;11,9613888888889;40;2022-10-22;road to Memorial of the battle of Koh Chang. South east corner of island. Tropical wet forest.;AAU;214;Chrysopogon zizanioides;Poaceae;Angiosperm;wfo-0000859932;species;Accepted;(L.) Roberty;TRUE
Poaceae;Cyrtococcum patens;(L.) A. Camus;H.Balslev 10662;102,308611111111;12,0619444444444;30;2022-10-20;Trail to the south from Khlong Phlu ranger station of Koh Chang N.P. Tropical rainforest.;AAU;215;Cyrtococcum patens;Poaceae;Angiosperm;wfo-0000861443;species;Accepted;A.Camus;TRUE
Poaceae;Eragrostis atrovirens;(Desf.) Trin. ex Steud.;H.Balslev 10736;102,429166666667;11,9613888888889;40;2022-10-22;road to Memorial of the battle of Koh Chang. South east corner of island. Tropical wet forest.;AAU;216;Eragrostis atrovirens;Poaceae;Angiosperm;wfo-0000867380;species;Accepted;(Desf.) Trin.;TRUE
Poaceae;Eragrostis cumingii;Steud.;H.Balslev 10759;102,405555555556;11,9769444444444;80;2022-10-23;rd to Memorial of the battle of Koh Chang. Garang Bay viewpoint, also the ranger station. Tropica forest on limestone.;AAU;217;Eragrostis cumingii;Poaceae;Angiosperm;wfo-0000867612;species;Accepted;Steud.;TRUE
Poaceae;Eragrostis unioloides;(Retz.) Nees ex Steud.;H.Balslev 10130;102,313055555556;12,0647222222222;65;2022-07-05;Klong Plu water fall, open area near the waterfall. Ryolite igneous rock.;AAU;218;Eragrostis unioloides;Poaceae;Angiosperm;wfo-0000868581;species;Accepted;Nees ex Steud.;TRUE
Poaceae;Ischaemum barbatum;Retz.;H.Balslev 10757;102,405555555556;11,9769444444444;80;2022-10-23;rd to Memorial of the battle of Koh Chang. Garang Bay viewpoint, also the ranger station. Tropica forest on limestone.;AAU;219;Ischaemum barbatum;Poaceae;Angiosperm;wfo-0000876149;species;Accepted;Retz.;TRUE
Poaceae;Ischaemum muticum;L.;H.Balslev 10706;102,422500000000;11,9647222222222;10;2022-10-21;Jek Bae Community Forest. Peninsula in SE corner of island. Near beach.;AAU;220;Ischaemum muticum;Poaceae;Angiosperm;wfo-0000876326;species;Accepted;L.;TRUE
Poaceae;Ischaemum polystachyum;J.Presl;H.Balslev 10717;102,433611111111;11,9538888888889;1;2022-10-22;Memorial of the battle of Koh Chang. South east corner of island. Tropical forest, beach vegetation.;AAU;221;Ischaemum polystachyum;Poaceae;Angiosperm;wfo-0000876353;species;Accepted;J.Presl;TRUE
Poaceae;Paspalum scrobiculatum;L.;H.Balslev 10758;102,405555555556;11,9769444444444;80;2022-10-23;rd to Memorial of the battle of Koh Chang. Garang Bay viewpoint, also the ranger station. Tropica forest on limestone.;AAU;222;Paspalum scrobiculatum;Poaceae;Angiosperm;wfo-0000888417;species;Accepted;L.;TRUE
Polygalaceae;Salomonia cantoniensis;Lour.;H.Balslev 10764;102,405277777778;11,9805555555556;40;2022-10-23;along rd to the Memorial of the Battle of Koh Chang. Tropical wet forest on red soil.;AAU;223;Salomonia cantoniensis;Polygalaceae;Angiosperm;wfo-0001100626;species;Accepted;Lour.;TRUE
Polypodiaceae;Lecanopteris sinuosa;(Wallich ex Hook.) Copel;H.Balslev 10208;102,388055555556;12,0211111111111;0;2022-07-10;Baan Sa Lakkok mangrove forest. North eastern coast near south eastern end of Koh Chang.;AAU;224;Lecanopteris sinuosa;Polypodiaceae;Pteridophytes;wfo-0001115932;species;Accepted;Copel.;TRUE
Polypodiaceae;Pyrrosia longifolia;(Burm. f.) C.V. Morton;H.Balslev 10207;102,388055555556;12,0211111111111;0;2022-07-10;Baan Sa Lakkok mangrove forest. North eastern coast near south eastern end of Koh Chang.;AAU;225;Pyrrosia longifolia;Polypodiaceae;Pteridophytes;wfo-0001115925;species;Accepted;(Burm.f.) Morton;TRUE
Polypodiaceae;Pyrrosia longifolia;(Burm. f.) C.V. Morton;H.Balslev 10709;102,433611111111;11,9538888888889;1;2022-10-22;Memorial of the battle of Koh Chang. South east corner of island. Tropical forest, beach vegetation.;AAU;226;Pyrrosia longifolia;Polypodiaceae;Pteridophytes;wfo-0001115925;species;Accepted;(Burm.f.) Morton;TRUE
Polypodiaceae;Pyrrosia piloselloides;(L.) M.G. Price;H.Balslev 10206;102,388055555556;12,0211111111111;0;2022-07-10;Baan Sa Lakkok mangrove forest. North eastern coast near south eastern end of Koh Chang.;AAU;227;Pyrrosia piloselloides;Polypodiaceae;Pteridophytes;wfo-0001115923;species;Accepted;(L.) M.G.Price;TRUE
Ptelypteridaceae;Ptelypteris;NA;H.Balslev 10246;102,293611111111;12,0650000000000;30;2022-10-20;North-west of Klong Plu waterfall. Exit past Cambodian care center.;AAU;228;Polypteris;;Unknown;wfo-4000030807;genus;Unchecked;Less.;FALSE
Pteridaceae;Adiantum thongthamii;Suksathan;P.Suksathan 3303;NA;NA;600;2002-03-24;Khao Leam, Koh Chang, exposed sandstone outcrops along the ridges.;AAU;229;Adiantum thongthamii;Pteridaceae;Pteridophytes;wfo-0000163405;species;Accepted;Suksathan;TRUE
Ranunculaceae;Naravelia siamensis;Craib;H.Balslev 10245;102,293611111111;12,0650000000000;30;2022-10-20;North-west of Klong Plu waterfall. Exit past Cambodian care center.;AAU;230;Clematis aureolata;Ranunculaceae;Angiosperm;wfo-0001339721;species;Accepted;D.Falck & Lehtonen;TRUE
Rhamnaceae;Ventilago maingayi;M.A.Lawson;R.Geesink 6646;NA;NA;100;1974-05-09;Near Had Sai Daeng.;AAU;231;Ventilago maingayi;Rhamnaceae;Angiosperm;wfo-0000418345;species;Accepted;M.A.Lawson;TRUE
Rhizophoraceae;Bruguiera gymnorhiza;(L.) Lam. ex Savigny;H.Balslev 10204;102,388055555556;12,0211111111111;0;2022-07-10;Baan Sa Lakkok mangrove forest. North eastern coast near south eastern end of Koh Chang.;AAU;232;Bruguiera gymnorhiza;Rhizophoraceae;Angiosperm;wfo-0000572747;species;Accepted;(L.) Lam.;TRUE
Rhizophoraceae;Ceriops tagal;(Perr.) C.B. Rob.;H.Balslev 10222;102,435555555556;11,9527777777778;0;2022-07-11;Huamong Bay, end of road. Beach vegetation.;AAU;233;Ceriops tagal;Rhizophoraceae;Angiosperm;wfo-0000597945;species;Accepted;C.B.Rob.;TRUE
Rhizophoraceae;Rhizophora apiculata;Bl.;H.Balslev 10202;102,388055555556;12,0211111111111;0;2022-07-10;Baan Sa Lakkok mangrove forest. North eastern coast near south eastern end of Koh Chang.;AAU;234;Rhizophora apiculata;Rhizophoraceae;Angiosperm;wfo-0001131596;species;Accepted;Blume;TRUE
Rhizophoraceae;Rhizophora mucronata;Lam.;H.Balslev 10203;102,388055555556;12,0211111111111;0;2022-07-10;Baan Sa Lakkok mangrove forest. North eastern coast near south eastern end of Koh Chang.;AAU;235;Rhizophora mucronata;Rhizophoraceae;Angiosperm;wfo-0001131556;species;Accepted;Poir.;FALSE
Rubiaceae;Argostemma;NA;H.Balslev 10090;102,310833333333;12,0625000000000;50;2022-07-03;Klong Plu waterfall nature trail. Tropical wet forest along stream.;AAU;236;Argostemma;Rubiaceae;Angiosperm;wfo-4000002992;genus;Accepted;Wall.;TRUE
Rubiaceae;Chassalia;NA;H.Balslev 10685;102,426944444444;11,9619444444444;60;2022-10-21;Jek Bae Community Forest. Peninsula in SE corner of island.;AAU;237;Chassalia;Rubiaceae;Angiosperm;wfo-4000007727;genus;Accepted;Comm. ex Poir.;TRUE
Rubiaceae;Chassalia chartacea;Craib;H.Balslev 10139;102,326944444444;11,9827777777778;26;2022-07-06;Perimeter road along S side of island. Sii Tor waterfall. Wet tropical forest, flat area on floodplain.;AAU;238;Chassalia curviflora;Rubiaceae;Angiosperm;wfo-0000840673;species;Accepted;Thwaites;TRUE
Rubiaceae;Coptosapelta flavescens;Korth.;H.Balslev 10193;102,346388888889;12,1030555555556;36;2022-07-09;Khlong Nonsi waterfall along northern perimeter road. Wet rainforest.;AAU;239;Coptosapelta tomentosa;Rubiaceae;Angiosperm;wfo-0000923767;species;Accepted;Valeton ex K.Heyne;TRUE
Rubiaceae;Gardenia;NA;H.Balslev 10094;102,310833333333;12,0625000000000;50;2022-07-03;Klong Plu waterfall nature trail. Tropical wet forest along stream.;AAU;240;Gardenia;Rubiaceae;Angiosperm;wfo-4000015323;genus;Accepted;J.Ellis;TRUE
Rubiaceae;Greenea;NA;H.Balslev 10093;102,310833333333;12,0625000000000;50;2022-07-03;Klong Plu waterfall nature trail. Tropical wet forest along stream.;AAU;241;Greenea;Rubiaceae;Angiosperm;wfo-4000016182;genus;Accepted;Wight & Arn.;TRUE
Rubiaceae;Greenea;NA;H.Balslev 10687;102,426944444444;11,9619444444444;60;2022-10-21;Jek Bae Community Forest. Peninsula in SE corner of island.;AAU;242;Greenea;Rubiaceae;Angiosperm;wfo-4000016182;genus;Accepted;Wight & Arn.;TRUE
Rubiaceae;Guettarda speciosa;L.;H.Balslev 10217;102,435555555556;11,9527777777778;0;2022-07-11;Huamong Bay, end of road. Beach vegetation.;AAU;243;Guettarda speciosa;Rubiaceae;Angiosperm;wfo-0000976249;species;Accepted;L.;TRUE
Rubiaceae;Hedyotis;NA;H.Balslev 10761;102,405277777778;11,9805555555556;40;2022-10-23;along rd to the Memorial of the Battle of Koh Chang. Tropical wet forest on red soil.;AAU;244;Hedyotis;Rubiaceae;Angiosperm;wfo-4000017143;genus;Accepted;L.;TRUE
Rubiaceae;Hedyotis nodiflora;Wall. & G.Don;J.F.Maxwell 73-338;NA;NA;NA;1973-08-03;South-Eastern. Koh Chang Island.;AAU;245;Hedyotis nodiflora;Rubiaceae;Angiosperm;wfo-0000980644;species;Accepted;Wall. ex G.Don;TRUE
Rubiaceae;Hypobathrum racemosum;(Roxb.) Kurz;H.Balslev 10241;102,422222222222;11,9669444444444;30;2022-07-12;Road to Huamang Bay. Hill with apparently poor soil and low forest.;AAU;246;Hypobathrum racemosum;Rubiaceae;Angiosperm;wfo-0000216348;species;Accepted;(Roxb.) Kurz;TRUE
Rubiaceae;Ixora dolichophylla;K.Schum.;H.Balslev 10719;102,433611111111;11,9538888888889;1;2022-10-22;Memorial of the battle of Koh Chang. South east corner of island. Tropical forest, beach vegetation.;AAU;247;Ixora dolichophylla;Rubiaceae;Angiosperm;wfo-0000218394;species;Accepted;K.Schum.;FALSE
Rubiaceae;Ixora javanica;(Blume) Dc.;H.Balslev 10095;102,310833333333;12,0625000000000;50;2022-07-03;Klong Plu waterfall nature trail. Tropical wet forest along stream.;AAU;248;Ixora javanica;Rubiaceae;Angiosperm;wfo-0000218581;species;Accepted;DC.;TRUE
Rubiaceae;Ixora javanica;(Blume) Dc.;H.Balslev 10104;102,294166666667;12,0341666666667;35;2022-07-04;western perimeter road, side road around Ban Kai Bae. Road cuts in humid tropical forest.;AAU;249;Ixora javanica;Rubiaceae;Angiosperm;wfo-0000218581;species;Accepted;DC.;TRUE
Rubiaceae;Ixora javanica;(Blume) Dc.;H.Balslev 10682;102,426944444444;11,9619444444444;60;2022-10-21;Jek Bae Community Forest. Peninsula in SE corner of island.;AAU;250;Ixora javanica;Rubiaceae;Angiosperm;wfo-0000218581;species;Accepted;DC.;TRUE
Rubiaceae;Lasianthus hirsutus;(Roxb.) Merr.;H.Balslev 10240;102,422222222222;11,9669444444444;30;2022-07-12;Road to Huamang Bay. Hill with apparently poor soil and low forest.;AAU;251;Lasianthus hirsutus;Rubiaceae;Angiosperm;wfo-0000223716;species;Accepted;(Roxb.) Merr.;TRUE
Rubiaceae;Lasianthus hirsutus;(Roxb.) Merr.;H.Balslev 10693;102,426944444444;11,9619444444444;60;2022-10-21;Jek Bae Community Forest. Peninsula in SE corner of island.;AAU;252;Lasianthus hirsutus;Rubiaceae;Angiosperm;wfo-0000223716;species;Accepted;(Roxb.) Merr.;TRUE
Rubiaceae;Mitracarpus;NA;H.Balslev 10729;102,429166666667;11,9613888888889;40;2022-10-22;road to Memorial of the battle of Koh Chang. South east corner of island. Tropical wet forest.;AAU;253;Mitracarpus;Rubiaceae;Angiosperm;wfo-4000024424;genus;Accepted;Zucc.;TRUE
Rubiaceae;Morinda citrifolia;L.;H.Balslev 10218;102,435555555556;11,9527777777778;0;2022-07-11;Huamong Bay, end of road. Beach vegetation.;AAU;254;Morinda citrifolia;Rubiaceae;Angiosperm;wfo-0000245941;species;Accepted;L.;TRUE
Rubiaceae;Mussaenda;NA;H.Balslev 10113;102,294166666667;12,0341666666667;35;2022-07-04;western perimeter road, side road around Ban Kai Bae. Road cuts in humid tropical forest.;AAU;255;Mussaenda;Rubiaceae;Angiosperm;wfo-4000025036;genus;Accepted;L.;TRUE
Rubiaceae;Oldenlandia;NA;H.Balslev 10700;102,422500000000;11,9647222222222;10;2022-10-21;Jek Bae Community Forest. Peninsula in SE corner of island. Near beach.;AAU;256;Oldenlandia;Rubiaceae;Angiosperm;wfo-4000026698;genus;Accepted;L.;TRUE
Rubiaceae;Oldenlandia prostrata;(Blume) Kuntze;H.Balslev 10096;102,310833333333;12,0625000000000;50;2022-07-03;Klong Plu waterfall nature trail. Tropical wet forest along stream.;AAU;257;Hedyotis prostrata;Rubiaceae;Angiosperm;wfo-0000980731;species;Accepted;Blume;TRUE
Rubiaceae;Ophiorhiza;L.;H.Balslev 10667;102,308611111111;12,0619444444444;30;2022-10-20;Trail to the south from Khlong Phlu ranger station of Koh Chang N.P. Tropical rainforest.;AAU;258;Ophiorrhiza;Rubiaceae;Angiosperm;wfo-4000026951;genus;Accepted;L.;TRUE
Rubiaceae;Ophiorrhiza;NA;H.Balslev 10089;102,310833333333;12,0625000000000;50;2022-07-03;Klong Plu waterfall nature trail. Tropical wet forest along stream.;AAU;259;Ophiorrhiza;Rubiaceae;Angiosperm;wfo-4000026951;genus;Accepted;L.;TRUE
Rubiaceae;Pavetta;NA;H.Balslev 10102;102,310833333333;12,0625000000000;50;2022-07-04;Klong Plu waterfall nature trail. Tropical wet forest along stream.;AAU;260;Pavetta;Rubiaceae;Angiosperm;wfo-4000028355;genus;Accepted;L.;TRUE
Rubiaceae;Psychotria;NA;H.Balslev 10152;102,326944444444;11,9827777777778;26;2022-07-06;Perimeter road along S side of island. Sii Tor waterfall. Wet tropical forest, flat area on floodplain.;AAU;261;Psychotria;Rubiaceae;Angiosperm;wfo-4000031840;genus;Accepted;L.;TRUE
Rubiaceae;Psychotria;NA;H.Balslev 10692;102,426944444444;11,9619444444444;60;2022-10-21;Jek Bae Community Forest. Peninsula in SE corner of island.;AAU;262;Psychotria;Rubiaceae;Angiosperm;wfo-4000031840;genus;Accepted;L.;TRUE
Rubiaceae;Psychotria;NA;H.Balslev 10755;102,412222222222;11,9708333333333;30;2022-10-23;Rd to Memorial of the Battle of Koh Chang. Wet tropical forest.;AAU;263;Psychotria;Rubiaceae;Angiosperm;wfo-4000031840;genus;Accepted;L.;TRUE
Rubiaceae;Psychotria rutila;Craib;H.Balslev 10088;102,310833333333;12,0625000000000;50;2022-07-03;Klong Plu waterfall nature trail. Tropical wet forest along stream.;AAU;264;Psychotria rutila;Rubiaceae;Angiosperm;wfo-0000287446;species;Accepted;Craib;FALSE
Rubiaceae;Rubiaceae;NA;H.Balslev 10230;102,422222222222;11,9669444444444;30;2022-07-12;Road to Huamang Bay. Hill with apparently poor soil and low forest.;AAU;265;Rubiaceae;Rubiaceae;Angiosperm;wfo-7000000534;family;Accepted;Juss.;TRUE
Rubiaceae;Rubiaceae;NA;H.Balslev 10674;102,426944444444;11,9619444444444;60;2022-10-21;ek Bae Community Forest. Peninsula in SE corner of island.;AAU;266;Rubiaceae;Rubiaceae;Angiosperm;wfo-7000000534;family;Accepted;Juss.;TRUE
Rubiaceae;Spermacoce;NA;H.Balslev 10708;102,359722222222;11,9652777777778;1;2022-10-21;Waichek Beach on south shore of island. Coconut grove near beach.;AAU;267;Spermacoce;Rubiaceae;Angiosperm;wfo-4000035936;genus;Accepted;L.;TRUE
Rubiaceae;Uncaria;NA;H.Balslev 10765;102,405277777778;11,9805555555556;40;2022-10-23;along rd to the Memorial of the Battle of Koh Chang. Tropical wet forest on red soil.;AAU;268;Uncaria;Rubiaceae;Angiosperm;wfo-4000039753;genus;Accepted;Schreb.;TRUE
Rutaceae;Melicope pteleifolia;(Champ. ex Benth.) T.G.Hartley;H.Balslev 10248;102,293611111111;12,0650000000000;30;2022-10-20;North-west of Klong Plu waterfall. Exit past Cambodian care center.;AAU;269;Melicope pteleifolia;Rutaceae;Angiosperm;wfo-0001261499;species;Accepted;(Champ. ex Benth.) T.G.Hartley;TRUE
Rutaceae;Micromelum hirsutum;Oliv.;H.Balslev 10256;102,293611111111;12,0650000000000;30;2022-10-20;North-west of Klong Plu waterfall. Exit past Cambodian care center.;AAU;270;Micromelum hirsutum;Rutaceae;Angiosperm;wfo-0000452911;species;Accepted;Oliv.;TRUE
Santalaceae;Dendrotrophe buxifolia;(Bl.) Miq.;H.Balslev 10235;102,422222222222;11,9669444444444;30;2022-07-12;Road to Huamang Bay. Hill with apparently poor soil and low forest.;AAU;271;Dendrotrophe buxifolia;Santalaceae;Angiosperm;wfo-0000641542;species;Accepted;Miq.;TRUE
Santalaceae;Dendrotrophe buxifolia;(Bl.) Miq.;H.Balslev 10694;102,426944444444;11,9619444444444;60;2022-10-21;Jek Bae Community Forest. Peninsula in SE corner of island.;AAU;272;Dendrotrophe buxifolia;Santalaceae;Angiosperm;wfo-0000641542;species;Accepted;Miq.;TRUE
Sapindaceae;Allophylus cobbe;(L.) Raeusch.;H.Balslev 10224;102,435555555556;11,9527777777778;0;2022-07-11;Huamong Bay, end of road. Beach vegetation.;AAU;273;Allophylus cobbe;Sapindaceae;Angiosperm;wfo-0000526604;species;Accepted;(L.) Raeusch.;TRUE
Sapindaceae;Guioa pleuropteris;(Bl.) Radlk.;H.Balslev 10749;102,412222222222;11,9708333333333;30;2022-10-23;Rd to Memorial of the Battle of Koh Chang. Wet tropical forest.;AAU;274;Guioa pleuropteris;Sapindaceae;Angiosperm;wfo-0000711881;species;Accepted;Radlk.;TRUE
Sapotaceae;Palaquium obovatum;(Griff.) Engl.;H.Balslev 10118;102,276111111111;12,0936111111111;46;2022-07-05;shrine of Prince Krom loung chumporn. Along western perimeter road. Tropical wet forest.;AAU;275;Palaquium obovatum;Sapotaceae;Angiosperm;wfo-0000262633;species;Accepted;Engl.;TRUE
Sapotaceae;Palaquium obovatum;(Griff.) Engl.;H.Balslev 10119;102,276111111111;12,0936111111111;46;2022-07-05;shrine of Prince Krom loung chumporn. Along western perimeter road. Tropical wet forest.;AAU;276;Palaquium obovatum;Sapotaceae;Angiosperm;wfo-0000262633;species;Accepted;Engl.;TRUE
Schizaeaceae;Lygodium salicifolium;C. Presl;H.Balslev 10109;102,294166666667;12,0341666666667;35;2022-07-04;western perimeter road, side road around Ban Kai Bae. Road cuts in humid tropical forest.;AAU;277;Lygodium salicifolium;Lygodiaceae;Pteridophytes;wfo-0001124449;species;Unchecked;C.Presl;TRUE
Schizaeaceae;Lygodium salicifolium;C. Presl;H.Balslev 10753;102,412222222222;11,9708333333333;30;2022-10-23;Rd to Memorial of the Battle of Koh Chang. Wet tropical forest.;AAU;278;Lygodium salicifolium;Lygodiaceae;Pteridophytes;wfo-0001124449;species;Unchecked;C.Presl;TRUE
Scrophulariaceae;Adenosma elsholzioides;T.Yamaz.;J.F.Maxwell 72-495;NA;NA;NA;1972-10-22;Koh Chang Island.;AAU;279;Adenosma elsholtzioides;Plantaginaceae;Angiosperm;wfo-0000520284;species;Accepted;T.Yamaz.;FALSE
Scrophulariaceae;Adenosma indiana;(Lour.) Merr.;H.Balslev 10669;102,426944444444;11,9619444444444;60;2022-10-21;Jek Bae Community Forest. Peninsula in SE corner of island.;AAU;280;Adenosma indianum;Plantaginaceae;Angiosperm;wfo-0000520292;species;Accepted;(Lour.) Merr.;TRUE
Scrophulariaceae;Lindernia ruelloides;(Colsm.) Pennell;H.Balslev 10141;102,326944444444;11,9827777777778;26;2022-07-06;Perimeter road along S side of island. Sii Tor waterfall. Wet tropical forest, flat area on floodplain.;AAU;281;Bonnaya ruellioides;Linderniaceae;Angiosperm;wfo-0000568740;species;Accepted;(Colsm.) Spreng.;TRUE
Scrophulariaceae;Scrophulariaceae;NA;H.Balslev 10140;102,326944444444;11,9827777777778;26;2022-07-06;Perimeter road along S side of island. Sii Tor waterfall. Wet tropical forest, flat area on floodplain.;AAU;282;Scrophulariaceae;Scrophulariaceae;Angiosperm;wfo-7000000561;family;Accepted;Juss.;TRUE
